request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256.0,affordable_now,full_payment,2024-03-03:25256,2024-03-03,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_02,21562948.22,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-13,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_03,1189847.18,affordable_later,wait,2019-11-13:5491000,2019-11-13,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_04,12693000.0,affordable_now,full_payment,2024-06-04:12693000,2024-06-04,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_05,15488.0,affordable_now,full_payment,2025-11-06:15488,2025-11-06,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_06,620.4,affordable_now,full_payment,2026-01-03:620.4,2026-01-03,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_07,103080.99,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-14,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_08,382.61,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_10,266700.0,not_affordable,not_recommended,none,2024-12-06,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_11,13110000.0,affordable_now,full_payment,2025-05-03:13110000,2025-05-03,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_12,65164.0,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_13,941.6,affordable_now,full_payment,2024-03-07:941.6,2024-03-07,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_14,0.0,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_15,0.0,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_16,122500.0,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_17,274600.0,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-01,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_18,694.61,affordable_later,wait,2026-08-14:3246.1,2026-08-14,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_19,39660.0,affordable_with_plan,installments,2024-09-04:20623.2|2024-10-02:20623.2,2024-09-04,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_20,28992.57,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_21,1574.4,affordable_now,full_payment,2026-04-03:1574.4,2026-04-03,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_22,577.12,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2024-12-16,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_23,13470.63,affordable_later,wait,2025-06-16:38016,2025-06-16,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_24,18380.49,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_25,4707225.04,affordable_later,wait,2024-04-17:60496000,2024-04-17,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
