request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"[ { ""explanation"": ""A full payment of 15656000.0 IDR was determined to be affordable now based on the current available balance of 100845250.0 IDR and the minimum balance to keep of 24768300.0 IDR."" } ]"
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"{ ""explanation"": ""Because the safe amount to pay today is 6670.0 ZAR, a full payment was made immediately."" }"
request_28,266.29,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_30,179.12,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_31,3549191.16,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_32,0,not_affordable,not_recommended,none,,none,"{ ""explanation"": ""Because the safe amount to pay is 0.0 ZAR and the current available balance of 69005.8 ZAR does not allow for a safe payment while maintaining the required minimum balance of 35700.0 ZAR, the decision was made not to proceed."" }"
request_33,28318.96,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_34,64430.21,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_35,25111.61,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_36,438.39,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_37,4880085.52,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_38,182.82,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_39,51786.3,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_40,0,not_affordable,not_recommended,none,,none,"[ { ""explanation"": ""The payment was deemed not affordable because the safe amount to pay is 0.0 EUR, leaving the current available balance of 2394.0 EUR below the minimum balance to keep of 1500.0 EUR once any payment is made."" } ]"
request_41,11234159.05,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"[ { ""explanation"": ""Based on a safe amount to pay of 52100.0 INR today, the decision was made to make a full payment since it is affordable now."" } ]"
request_43,8996501.09,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_44,0,not_affordable,not_recommended,none,,none,"{ ""explanation"": ""The payment was deemed not affordable and not recommended because the safe amount to pay today is 0.0 INR. This decision ensures that the current available balance of 162290.0 INR does not fall below the minimum required balance of 82900.0 INR."" }"
request_45,3952627.1,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_46,34159.98,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_47,2127901.81,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"{ ""explanation"": ""Based on a current available balance of 188065.0 INR and a minimum balance requirement of 71300.0 INR, a full payment of 45700.0 INR was determined to be affordable today."" }"
request_49,8879827.29,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"{ ""explanation"": ""A full payment of 43900.0 INR was decided as affordable today because the current available balance of 247325.5 INR exceeds the minimum balance to keep of 99700.0 INR by at least the safe amount."" }"
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"{ ""explanation"": ""A full payment of 2191000.0 IDR was determined to be affordable today since the current available balance of 35347700.0 IDR exceeds the minimum balance to keep of 7811000.0 IDR."" }"
request_52,18701.97,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_53,477.89,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_54,1380.98,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_55,126867.25,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,reduce_to:event_5167:2750|stop:event_5101,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_56,640.69,affordable_with_plan,partial_payment,2025-02-03:640.69|2025-02-15:240.87,2025-02-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_57,12657.18,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"[ { ""explanation"": ""A full payment of IDR 16,226,000.0 was made because it was determined to be affordable now based on the current safe balance."" } ]"
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"[ { ""explanation"": ""Because the minimum balance to keep is 132600.0 INR against a current available balance of 723245.99 INR, the safe amount of 140600.0 INR has been designated as affordable with an installment plan."" } ]"
request_60,0,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"{ ""explanation"": ""Because the safe amount to pay today is 29062.0 ZAR while maintaining the minimum balance of 36700.0 ZAR out of the available 147470.23 ZAR, the decision was made to pay in installments."" }"
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"{ ""explanation"": ""You decided to make a full payment of 404.23 USD because it is affordable now given your current available balance of 5151.44 USD and minimum balance of 1300.0 USD."" }"
request_63,48056.07,affordable_with_plan,partial_payment,2026-07-07:48056.07|2026-09-15:295843.93,2026-09-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_64,43302.72,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-08-15,reduce_to:event_5951:950|reduce_to:event_5949:530,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_65,5951.38,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"[ { ""explanation"": ""Based on a current available balance of 302520.0 INR and a minimum balance requirement of 80700.0 INR, a full payment of 22200.0 INR was safely made today."" } ]"
request_67,399,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_68,1332.6,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,"{ ""explanation"": ""Because the safe amount to pay today was calculated as 529.1 EUR, a full payment decision of affordable_now was made."" }"
request_70,47112.87,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_71,77785.41,not_affordable,not_recommended,none,,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_72,0,not_affordable,not_recommended,none,,none,"{ ""explanation"": ""The financial decision to not afford the payment was made because the safe amount to pay is 0.0 ZAR, leaving only the minimum balance of 12200.0 ZAR out of the current available balance of 30337.13 ZAR."" }"
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"{ ""explanation"": ""A full payment of 71400.0 INR was decided because it is affordable now and safe to pay based on the current available balance and minimum balance requirement."" }"
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"[ { ""explanation"": ""A full payment of 5010.0 ZAR was made because the safe today amount allowed for it, while leaving the current available balance above the minimum balance to keep."" } ]"
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"[ { ""explanation"": ""Because the safe amount to pay today is 28270.0 ZAR while maintaining the required minimum balance of 39000.0 ZAR from the current available balance of 145867.87 ZAR, the payment has been classified as affordable through an installment plan."" } ]"
request_76,677.36,not_affordable,not_recommended,none,2024-07-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"[ { ""decision"": ""affordable_now"", ""explanation"": ""Since the safe amount to pay today is 60700.0 INR and the current available balance is 189860.5 INR while maintaining a minimum balance of 82200.0 INR, a full payment has been made."" } ]"
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"{ ""explanation"": ""A full payment of 50200.0 INR was made today because it is safe to pay and maintains the required minimum balance of 55200.0 INR."" }"
request_79,278.36,not_affordable,not_recommended,none,2024-11-15,none,"{""event_id"": null, ""action"": ""none"", ""new_amount"": null, ""new_date"": null, ""delay_days"": null, ""confidence"": 0.0}"
